ticket,open_time,type,size,item,open_px,sl,tp,close_time,close_px,commission,taxes,swap,profit
42733705,2026.05.26 14:44:20,buy,0.01,xauusd,4510.02,0.00,4513.02,2026.05.26 14:47:06,4513.02,0.00,0.00,0.00,3.00
42733706,2026.05.26 14:44:20,sell,0.01,xauusd,4509.63,0.00,4510.18,2026.05.26 14:55:23,4510.18,0.00,0.00,0.00,-0.55
42733844,2026.05.26 14:47:06,sell,0.02,xauusd,4512.71,0.00,4510.18,2026.05.26 14:55:23,4510.18,0.00,0.00,0.00,5.06
42733856,2026.05.26 14:47:07,buy,0.01,xauusd,4513.44,0.00,4510.35,2026.05.26 15:08:25,4510.35,0.00,0.00,0.00,-3.09
42734084,2026.05.26 14:55:23,buy,0.02,xauusd,4510.37,0.00,4510.35,2026.05.26 15:08:25,4510.35,0.00,0.00,0.00,-0.04
42734094,2026.05.26 14:55:24,sell,0.01,xauusd,4508.53,0.00,4508.92,2026.05.26 14:58:51,4508.92,0.00,0.00,0.00,-0.39
42734202,2026.05.26 14:57:15,sell,0.02,xauusd,4511.37,0.00,4508.92,2026.05.26 14:58:51,4508.92,0.00,0.00,0.00,4.90
42734233,2026.05.26 14:58:51,sell,0.01,xauusd,4508.30,0.00,4505.30,2026.05.26 14:58:56,4505.30,0.00,0.00,0.00,3.00
42734253,2026.05.26 14:58:54,buy,0.02,xauusd,4506.28,0.00,4510.35,2026.05.26 15:08:25,4510.35,0.00,0.00,0.00,8.14
42734293,2026.05.26 14:58:56,sell,0.01,xauusd,4505.15,0.00,4507.63,2026.05.26 15:08:45,4507.63,0.00,0.00,0.00,-2.48
42734427,2026.05.26 15:00:57,sell,0.02,xauusd,4508.52,0.00,4507.63,2026.05.26 15:08:45,4507.63,0.00,0.00,0.00,1.78
42734542,2026.05.26 15:08:26,buy,0.01,xauusd,4510.59,0.00,4510.02,2026.05.26 15:09:18,4510.02,0.00,0.00,0.00,-0.57
42734566,2026.05.26 15:08:29,sell,0.02,xauusd,4510.49,0.00,4507.63,2026.05.26 15:08:45,4507.63,0.00,0.00,0.00,5.72
42734619,2026.05.26 15:08:46,sell,0.01,xauusd,4506.93,0.00,4509.96,2026.05.26 15:20:09,4509.96,0.00,0.00,0.00,-3.03
42734624,2026.05.26 15:08:46,buy,0.02,xauusd,4507.48,0.00,4510.02,2026.05.26 15:09:18,4510.02,0.00,0.00,0.00,5.08
42734661,2026.05.26 15:09:18,sell,0.02,xauusd,4510.17,0.00,4509.96,2026.05.26 15:20:09,4509.96,0.00,0.00,0.00,0.42
42734675,2026.05.26 15:09:19,buy,0.01,xauusd,4511.27,0.00,4510.74,2026.05.26 15:11:49,4510.74,0.00,0.00,0.00,-0.53
42734714,2026.05.26 15:10:24,buy,0.02,xauusd,4508.22,0.00,4510.74,2026.05.26 15:11:49,4510.74,0.00,0.00,0.00,5.04
42734749,2026.05.26 15:11:49,buy,0.01,xauusd,4511.73,0.00,4514.73,2026.05.26 15:15:41,4514.73,0.00,0.00,0.00,3.00
42734831,2026.05.26 15:15:37,sell,0.02,xauusd,4513.77,0.00,4509.96,2026.05.26 15:20:09,4509.96,0.00,0.00,0.00,7.62
42734863,2026.05.26 15:15:42,buy,0.01,xauusd,4515.47,0.00,4512.67,2026.05.26 15:21:30,4510.41,0.00,0.00,0.00,-5.06
42734955,2026.05.26 15:19:24,buy,0.02,xauusd,4512.43,0.00,4512.67,2026.05.26 15:21:29,4510.25,0.00,0.00,0.00,-4.36
42734983,2026.05.26 15:20:09,sell,0.01,xauusd,4508.74,0.00,4505.74,2026.05.26 15:21:29,4510.75,0.00,0.00,0.00,-2.01
42734992,2026.05.26 15:20:10,buy,0.02,xauusd,4509.02,0.00,4512.67,2026.05.26 15:21:29,4510.32,0.00,0.00,0.00,2.60
42735048,2026.05.26 15:21:30,buy,0.01,xauusd,4511.13,0.00,4514.13,2026.05.26 15:25:03,4509.52,0.00,0.00,0.00,-1.61
42735049,2026.05.26 15:21:30,sell,0.01,xauusd,4510.70,0.00,4507.70,2026.05.26 15:25:06,4509.90,0.00,0.00,0.00,0.80
42739877,2026.05.26 17:30:59,buy,0.01,xauusd,4519.55,0.00,4522.55,2026.05.26 17:36:13,4522.55,0.00,0.00,0.00,3.00
42739878,2026.05.26 17:30:59,sell,0.01,xauusd,4519.00,0.00,4519.75,2026.05.26 17:48:01,4519.75,0.00,0.00,0.00,-0.75
42740059,2026.05.26 17:36:12,sell,0.02,xauusd,4522.37,0.00,4519.75,2026.05.26 17:48:01,4519.75,0.00,0.00,0.00,5.24
42740072,2026.05.26 17:36:14,buy,0.01,xauusd,4522.89,0.00,4518.07,2026.05.26 18:01:18,4513.22,0.00,0.00,0.00,-9.67
42740349,2026.05.26 17:48:02,sell,0.01,xauusd,4519.78,0.00,4516.78,2026.05.26 17:54:28,4516.78,0.00,0.00,0.00,3.00
42740350,2026.05.26 17:48:11,buy,0.02,xauusd,4519.89,0.00,4518.07,2026.05.26 18:01:17,4513.40,0.00,0.00,0.00,-12.98
